author_name,pmid,author_id
GordonN.K.,2-s2.0-84857183528,1
GordonR.,2-s2.0-84857183528,2
McClureM.J.,2-s2.0-84880230597,3
GargK.,2-s2.0-84880230597,4
SimpsonD.G.,2-s2.0-84880230597,5
RyanJ.J.,2-s2.0-84880230597,6
SellS.A.,2-s2.0-84880230597,7
BowlinG.L.,2-s2.0-84880230597,8
EricksenJ.J.,2-s2.0-84880230597,9
ZilbersteinK.,2-s2.0-84882559749,10
LillehaugS.,2-s2.0-84889581315,11
SyverstadG.H.,2-s2.0-84889581315,12
NilssonL.N.G.,2-s2.0-84889581315,13
BjaalieJ.G.,2-s2.0-84889581315,14
LeergaardT.B.,2-s2.0-84889581315,15
TorpR.,2-s2.0-84889581315,16
HwangM.G.,2-s2.0-84890549929,17
ParkH.J.,2-s2.0-84890549929,18
HarD.H.,2-s2.0-84890549929,19
BerryJ.M.,2-s2.0-84890560422,20
JayN.,2-s2.0-84890560422,21
CranstonR.D.,2-s2.0-84890560422,22
DarraghT.M.,2-s2.0-84890560422,23
HollyE.A.,2-s2.0-84890560422,24
WeltonM.L.,2-s2.0-84890560422,25
PalefskyJ.M.,2-s2.0-84890560422,26
BalajiV.R.,2-s2.0-84891419963,27
SubramanianS.,2-s2.0-84891419963,28
AnduezaD.,2-s2.0-84891631962,29
AlabartJ.L.,2-s2.0-84891631962,30
LahozB.,2-s2.0-84891631962,31
MuñozF.,2-s2.0-84891631962,32
FolchJ.,2-s2.0-84891631962,33
Hoover-FongJ.,2-s2.0-84891798732,34
SobreiraN.,2-s2.0-84891798732,35
JurgensJ.,2-s2.0-84891798732,36
ModaffP.,2-s2.0-84891798732,37
BloutC.,2-s2.0-84891798732,38
MoserA.,2-s2.0-84891798732,39
KimO.-H.,2-s2.0-84891798732,40
ChoT.-J.,2-s2.0-84891798732,41
ChoS.Y.,2-s2.0-84891798732,42
KimS.J.,2-s2.0-84891798732,43
JinD.-K.,2-s2.0-84891798732,44
KitohH.,2-s2.0-84891798732,45
ParkW.-Y.,2-s2.0-84891798732,46
LingH.,2-s2.0-84891798732,47
HetrickK.N.,2-s2.0-84891798732,48
DohenyK.F.,2-s2.0-84891798732,49
ValleD.,2-s2.0-84891798732,50
PauliR.M.,2-s2.0-84891798732,51
HadwenJ.,2-s2.0-84892150517,52
MackenzieD.,2-s2.0-84892150517,53
ShamimF.,2-s2.0-84892150517,54
MongeonK.,2-s2.0-84892150517,55
HolcikM.,2-s2.0-84892150517,56
MackenzieA.,2-s2.0-84892150517,57
FarooqF.,2-s2.0-84892150517,58
SchwartzeJ.,2-s2.0-84892420058,59
HaarbrandtB.,2-s2.0-84892420058,60
FortmeierD.,2-s2.0-84892420058,61
HauxR.,2-s2.0-84892420058,62
SeidelC.,2-s2.0-84892420058,63
GriesserS.,2-s2.0-84892484747,64
O'LearyP.,2-s2.0-84892484747,65
ZhouB.,2-s2.0-84892526743,66
SherryLiuX.,2-s2.0-84892526743,67
WangJ.,2-s2.0-84892526743,68
LucasLuX.,2-s2.0-84892526743,69
FieldsA.J.,2-s2.0-84892526743,70
EdwardGuoX.,2-s2.0-84892526743,71
ThieleR.H.,2-s2.0-84892591521,72
BartelsK.,2-s2.0-84892591521,73
EsperS.,2-s2.0-84892591521,74
IkedaK.,2-s2.0-84892591521,75
GanT.-J.,2-s2.0-84892591521,76
KiddB.A.,2-s2.0-84892712729,77
PetersL.A.,2-s2.0-84892712729,78
SchadtE.E.,2-s2.0-84892712729,79
DudleyJ.T.,2-s2.0-84892712729,80
LinP.L.,2-s2.0-84892789886,81
HuangP.Y.,2-s2.0-84892789886,82
HuangP.W.,2-s2.0-84892789886,83
HsuH.C.,2-s2.0-84892789886,84
ChenC.C.,2-s2.0-84892789886,85
ConceiçãoA.,2-s2.0-84892880709,86
SilvaA.J.,2-s2.0-84892880709,87
BarbosaT.,2-s2.0-84892880709,88
KarsaiI.,2-s2.0-84892880709,89
LouroH.,2-s2.0-84892880709,90
ChakravartyR.,2-s2.0-84892984545,91
ChakrabortyS.,2-s2.0-84892984545,92
ChirayilV.,2-s2.0-84892984545,93
DashA.,2-s2.0-84892984545,94
HarperR.,2-s2.0-84893103888,95
MeiX.,2-s2.0-84893157964,96
LiZ.,2-s2.0-84893157964,97
XuS.,2-s2.0-84893157964,98
GuoX.,2-s2.0-84893157964,99
YasudaK.,2-s2.0-84893191374,100
SugiuraK.,2-s2.0-84893191374,101
TakeichiT.,2-s2.0-84893191374,102
OgawaY.,2-s2.0-84893191374,103
MuroY.,2-s2.0-84893191374,104
AkiyamaM.,2-s2.0-84893191374,105
DehkharghaniS.,2-s2.0-84893228141,106
PleshkovaS.,2-s2.0-84893228141,107
HuangA.P.-H.,2-s2.0-84893307908,108
TsaiJ.-C.,2-s2.0-84893307908,109
KuoL.-T.,2-s2.0-84893307908,110
LeeC.-W.,2-s2.0-84893307908,111
LaiH.-S.,2-s2.0-84893307908,112
TsaiL.-K.,2-s2.0-84893307908,113
HuangS.-J.,2-s2.0-84893307908,114
ChenC.-M.,2-s2.0-84893307908,115
ChenY.-S.,2-s2.0-84893307908,116
ChuangH.-Y.,2-s2.0-84893307908,117
WintermarkM.,2-s2.0-84893307908,118
MessiasR.S.,2-s2.0-84893314382,119
GalliV.,2-s2.0-84893314382,120
eSilvaS.D.A.,2-s2.0-84893314382,121
RombaldiC.V.,2-s2.0-84893314382,122
FooprateepsiriR.,2-s2.0-84893412968,123
KurutachW.,2-s2.0-84893412968,124
LiuF.,2-s2.0-84893451085,125
WangS.,2-s2.0-84893451085,126
ScherbininV.V.,2-s2.0-84893529838,127
KhusainovN.S.,2-s2.0-84893529838,128
KravchenkoP.P.,2-s2.0-84893529838,129
HuM.-C.,2-s2.0-84893531762,130
SharifN.,2-s2.0-84893531762,131
BaarkE.,2-s2.0-84893531762,132
HaggertyJ.M.,2-s2.0-84893673319,133
WangX.N.,2-s2.0-84893673319,134
DickinsonA.,2-s2.0-84893673319,135
O'MalleyC.J.,2-s2.0-84893673319,136
MartinE.B.,2-s2.0-84893673319,137
ChuaK.Y.L.,2-s2.0-84893677679,138
MonkI.R.,2-s2.0-84893677679,139
LinY.-H.,2-s2.0-84893677679,140
SeemannT.,2-s2.0-84893677679,141
TuckK.L.,2-s2.0-84893677679,142
PorterJ.L.,2-s2.0-84893677679,143
StepnellJ.,2-s2.0-84893677679,144
CoombsG.W.,2-s2.0-84893677679,145
DaviesJ.K.,2-s2.0-84893677679,146
StinearT.P.,2-s2.0-84893677679,147
HowdenB.P.,2-s2.0-84893677679,148
NakagawaR.K.L.,2-s2.0-84893725736,149
AlvesJ.L.,2-s2.0-84893725736,150
BuonoV.T.L.,2-s2.0-84893725736,151
BahiaM.G.A.,2-s2.0-84893725736,152
ParkJ.-H.,2-s2.0-84893759491,153
ChungH.-T.,2-s2.0-84893759491,154
KimD.G.,2-s2.0-84893759491,155
KimY.-H.,2-s2.0-84893759491,156
HanJ.H.,2-s2.0-84893759491,157
KimC.-Y.,2-s2.0-84893759491,158
OhC.W.,2-s2.0-84893759491,159
SuhT.S.,2-s2.0-84893759491,160
SmallridgeR.C.,2-s2.0-84893772701,161
ChindrisA.-M.,2-s2.0-84893772701,162
AsmannY.W.,2-s2.0-84893772701,163
CaslerJ.D.,2-s2.0-84893772701,164
SerieD.J.,2-s2.0-84893772701,165
ReddiH.V.,2-s2.0-84893772701,166
CradicK.W.,2-s2.0-84893772701,167
RiveraM.,2-s2.0-84893772701,168
GrebeS.K.,2-s2.0-84893772701,169
NecelaB.M.,2-s2.0-84893772701,170
EberhardtN.L.,2-s2.0-84893772701,171
CarrJ.M.,2-s2.0-84893772701,172
McIverB.,2-s2.0-84893772701,173
CoplandJ.A.,2-s2.0-84893772701,174
ThompsonE.A.,2-s2.0-84893772701,175
YangT.,2-s2.0-84893844120,176
DongJ.,2-s2.0-84893844120,177
LiuL.,2-s2.0-84893844120,178
LiaoS.,2-s2.0-84893844120,179
TanS.,2-s2.0-84893844120,180
ShiL.,2-s2.0-84893844120,181
GaoD.,2-s2.0-84893844120,182
ZhangX.,2-s2.0-84893844120,183
HoltonN.E.,2-s2.0-84893952807,184
FranciscusR.G.,2-s2.0-84893952807,185
RavosaM.J.,2-s2.0-84893952807,186
SouthardT.E.,2-s2.0-84893952807,187
IshidaM.,2-s2.0-84894027056,188
IwaiM.,2-s2.0-84894027056,189
YoshidaK.,2-s2.0-84894027056,190
KagotaniA.,2-s2.0-84894027056,191
OkabeH.,2-s2.0-84894027056,192
IglesiasA.I.,2-s2.0-84894052955,193
SpringelkampH.,2-s2.0-84894052955,194
VanderlindeH.,2-s2.0-84894052955,195
SeverijnenL.,2-s2.0-84894052955,196
AminN.,2-s2.0-84894052955,197
OostraB.,2-s2.0-84894052955,198
KockxC.E.M.,2-s2.0-84894052955,199
VandenhoutM.C.G.N.,2-s2.0-84894052955,200
VanijckenW.F.J.,2-s2.0-84894052955,201
HofmanA.,2-s2.0-84894052955,202
UitterlindenA.G.,2-s2.0-84894052955,203
VerdijkR.M.,2-s2.0-84894052955,204
KlaverC.C.W.,2-s2.0-84894052955,205
WillemsenR.,2-s2.0-84894052955,206
VanduijnC.M.,2-s2.0-84894052955,207
WardM.J.,2-s2.0-84894105012,208
FroehleC.M.,2-s2.0-84894105012,209
HartK.W.,2-s2.0-84894105012,210
CollinsS.P.,2-s2.0-84894105012,211
LindsellC.J.,2-s2.0-84894105012,212
ChongH.J.,2-s2.0-84894114092,213
ChoS.-R.,2-s2.0-84894114092,214
KimS.J.,2-s2.0-84894114092,43
WarkL.,2-s2.0-84894118741,215
DanescuA.,2-s2.0-84894118741,216
NatarajanS.,2-s2.0-84894118741,217
ZhuX.,2-s2.0-84894118741,218
ChengS.-Y.,2-s2.0-84894118741,219
Hombach-KlonischS.,2-s2.0-84894118741,220
MaiS.,2-s2.0-84894118741,221
KlonischT.,2-s2.0-84894118741,222
SweigartL.,2-s2.0-84894123650,223
BurdenM.,2-s2.0-84894123650,224
CarltonK.H.,2-s2.0-84894123650,225
FillwalkJ.,2-s2.0-84894123650,226
RosenzweigI.,2-s2.0-84894132337,227
FogarasiA.,2-s2.0-84894132337,228
JohnsenB.,2-s2.0-84894132337,229
AlvingJ.,2-s2.0-84894132337,230
FabriciusM.E.,2-s2.0-84894132337,231
SchergM.,2-s2.0-84894132337,232
NeufeldM.Y.,2-s2.0-84894132337,233
PresslerR.,2-s2.0-84894132337,234
KjaerT.W.,2-s2.0-84894132337,235
VanEmdeBoasW.,2-s2.0-84894132337,236
BeniczkyS.,2-s2.0-84894132337,237
FuY.,2-s2.0-84894252395,238
SchroederT.,2-s2.0-84894252395,239
ZabelinaT.,2-s2.0-84894252395,240
BadbaranA.,2-s2.0-84894252395,241
BacherU.,2-s2.0-84894252395,242
KobbeG.,2-s2.0-84894252395,243
AyukF.,2-s2.0-84894252395,244
WolschkeC.,2-s2.0-84894252395,245
SchnittgerS.,2-s2.0-84894252395,246
KohlmannA.,2-s2.0-84894252395,247
HaferlachT.,2-s2.0-84894252395,248
KrögerN.,2-s2.0-84894252395,249
LiuL.-P.,2-s2.0-84894255888,250
XuA.-D.,2-s2.0-84894255888,251
WongL.K.S.,2-s2.0-84894255888,252
WangD.Z.,2-s2.0-84894255888,253
WangY.-J.,2-s2.0-84894255888,254
RattermanM.,2-s2.0-84894259718,255
KruczekK.,2-s2.0-84894259718,256
SuloS.,2-s2.0-84894259718,257
ShanafeltT.D.,2-s2.0-84894259718,258
KayN.E.,2-s2.0-84894259718,259
NabhanC.,2-s2.0-84894259718,260
PawlakE.A.,2-s2.0-84894262845,261
GeorR.J.,2-s2.0-84894262845,262
WattsM.R.,2-s2.0-84894262845,263
BlackS.J.,2-s2.0-84894262845,264
JohnsonP.J.,2-s2.0-84894262845,265
BelknapJ.K.,2-s2.0-84894262845,266
HariharanM.,2-s2.0-84894268248,267
PolatK.,2-s2.0-84894268248,268
SindhuR.,2-s2.0-84894268248,269
DaqrouqK.,2-s2.0-84894285200,270
AlkhateebA.,2-s2.0-84894285200,271
AjourM.N.,2-s2.0-84894285200,272
MorfeqA.,2-s2.0-84894285200,273
ChenY.,2-s2.0-84894319841,274
WangT.-T.,2-s2.0-84894319841,275
GaoY.,2-s2.0-84894319841,276
LiT.-J.,2-s2.0-84894319841,277
KurochkinM.A.,2-s2.0-84894518924,278
FedosovI.V.,2-s2.0-84894518924,279
TuchinV.V.,2-s2.0-84894518924,280
TakedaT.,2-s2.0-84894559169,281
ItoiO.,2-s2.0-84894559169,282
TakagiH.,2-s2.0-84894559169,283
TsubakimotoS.,2-s2.0-84894559169,284
Porter-OêgradyT.,2-s2.0-84894619648,285
JasminM.,2-s2.0-84894665710,286
RobertsB.C.,2-s2.0-84894714440,287
PerilliE.,2-s2.0-84894714440,288
ReynoldsK.J.,2-s2.0-84894714440,289
ShragerJ.,2-s2.0-84895900452,290
TenenbaumJ.M.,2-s2.0-84895900452,291
XuG.,2-s2.0-84896090972,292
StrongM.J.,2-s2.0-84896090972,293
LaceyM.R.,2-s2.0-84896090972,294
BaribaultC.,2-s2.0-84896090972,295
FlemingtonE.K.,2-s2.0-84896090972,296
TaylorC.M.,2-s2.0-84896090972,297
DelibasisK.K.,2-s2.0-84896333237,298
AsvestasP.A.,2-s2.0-84896333237,299
KechriniotisA.I.,2-s2.0-84896333237,300
MatsopoulosG.K.,2-s2.0-84896333237,301
BuchhauptM.,2-s2.0-84896498492,302
SharmaS.,2-s2.0-84896498492,303
KellnerS.,2-s2.0-84896498492,304
OswaldS.,2-s2.0-84896498492,305
PaetzoldM.,2-s2.0-84896498492,306
PeiferC.,2-s2.0-84896498492,307
WatzingerP.,2-s2.0-84896498492,308
SchraderJ.,2-s2.0-84896498492,309
HelmM.,2-s2.0-84896498492,310
EntianK.-D.,2-s2.0-84896498492,311
KastisG.A.,2-s2.0-84896512302,312
KyriakopoulouD.,2-s2.0-84896512302,313
GaitanisA.,2-s2.0-84896512302,314
FernándezY.,2-s2.0-84896512302,315
