author_name,author_id
GordonN.K.,1
GordonR.,2
McClureM.J.,3
GargK.,4
SimpsonD.G.,5
RyanJ.J.,6
SellS.A.,7
BowlinG.L.,8
EricksenJ.J.,9
ZilbersteinK.,10
LillehaugS.,11
SyverstadG.H.,12
NilssonL.N.G.,13
BjaalieJ.G.,14
LeergaardT.B.,15
TorpR.,16
HwangM.G.,17
ParkH.J.,18
HarD.H.,19
BerryJ.M.,20
JayN.,21
CranstonR.D.,22
DarraghT.M.,23
HollyE.A.,24
WeltonM.L.,25
PalefskyJ.M.,26
BalajiV.R.,27
SubramanianS.,28
AnduezaD.,29
AlabartJ.L.,30
LahozB.,31
MuñozF.,32
FolchJ.,33
Hoover-FongJ.,34
SobreiraN.,35
JurgensJ.,36
ModaffP.,37
BloutC.,38
MoserA.,39
KimO.-H.,40
ChoT.-J.,41
ChoS.Y.,42
KimS.J.,43
JinD.-K.,44
KitohH.,45
ParkW.-Y.,46
LingH.,47
HetrickK.N.,48
DohenyK.F.,49
ValleD.,50
PauliR.M.,51
HadwenJ.,52
MackenzieD.,53
ShamimF.,54
MongeonK.,55
HolcikM.,56
MackenzieA.,57
FarooqF.,58
SchwartzeJ.,59
HaarbrandtB.,60
FortmeierD.,61
HauxR.,62
SeidelC.,63
GriesserS.,64
O'LearyP.,65
ZhouB.,66
SherryLiuX.,67
WangJ.,68
LucasLuX.,69
FieldsA.J.,70
EdwardGuoX.,71
ThieleR.H.,72
BartelsK.,73
EsperS.,74
IkedaK.,75
GanT.-J.,76
KiddB.A.,77
PetersL.A.,78
SchadtE.E.,79
DudleyJ.T.,80
LinP.L.,81
HuangP.Y.,82
HuangP.W.,83
HsuH.C.,84
ChenC.C.,85
ConceiçãoA.,86
SilvaA.J.,87
BarbosaT.,88
KarsaiI.,89
LouroH.,90
ChakravartyR.,91
ChakrabortyS.,92
ChirayilV.,93
DashA.,94
HarperR.,95
MeiX.,96
LiZ.,97
XuS.,98
GuoX.,99
YasudaK.,100
SugiuraK.,101
TakeichiT.,102
OgawaY.,103
MuroY.,104
AkiyamaM.,105
DehkharghaniS.,106
PleshkovaS.,107
HuangA.P.-H.,108
TsaiJ.-C.,109
KuoL.-T.,110
LeeC.-W.,111
LaiH.-S.,112
TsaiL.-K.,113
HuangS.-J.,114
ChenC.-M.,115
ChenY.-S.,116
ChuangH.-Y.,117
WintermarkM.,118
MessiasR.S.,119
GalliV.,120
eSilvaS.D.A.,121
RombaldiC.V.,122
FooprateepsiriR.,123
KurutachW.,124
LiuF.,125
WangS.,126
ScherbininV.V.,127
KhusainovN.S.,128
KravchenkoP.P.,129
HuM.-C.,130
SharifN.,131
BaarkE.,132
HaggertyJ.M.,133
WangX.N.,134
DickinsonA.,135
O'MalleyC.J.,136
MartinE.B.,137
ChuaK.Y.L.,138
MonkI.R.,139
LinY.-H.,140
SeemannT.,141
TuckK.L.,142
PorterJ.L.,143
StepnellJ.,144
CoombsG.W.,145
DaviesJ.K.,146
StinearT.P.,147
HowdenB.P.,148
NakagawaR.K.L.,149
AlvesJ.L.,150
BuonoV.T.L.,151
BahiaM.G.A.,152
ParkJ.-H.,153
ChungH.-T.,154
KimD.G.,155
KimY.-H.,156
HanJ.H.,157
KimC.-Y.,158
OhC.W.,159
SuhT.S.,160
SmallridgeR.C.,161
ChindrisA.-M.,162
AsmannY.W.,163
CaslerJ.D.,164
SerieD.J.,165
ReddiH.V.,166
CradicK.W.,167
RiveraM.,168
GrebeS.K.,169
NecelaB.M.,170
EberhardtN.L.,171
CarrJ.M.,172
McIverB.,173
CoplandJ.A.,174
ThompsonE.A.,175
YangT.,176
DongJ.,177
LiuL.,178
LiaoS.,179
TanS.,180
ShiL.,181
GaoD.,182
ZhangX.,183
HoltonN.E.,184
FranciscusR.G.,185
RavosaM.J.,186
SouthardT.E.,187
IshidaM.,188
IwaiM.,189
YoshidaK.,190
KagotaniA.,191
OkabeH.,192
IglesiasA.I.,193
SpringelkampH.,194
VanderlindeH.,195
SeverijnenL.,196
AminN.,197
OostraB.,198
KockxC.E.M.,199
VandenhoutM.C.G.N.,200
VanijckenW.F.J.,201
HofmanA.,202
UitterlindenA.G.,203
VerdijkR.M.,204
KlaverC.C.W.,205
WillemsenR.,206
VanduijnC.M.,207
WardM.J.,208
FroehleC.M.,209
HartK.W.,210
CollinsS.P.,211
LindsellC.J.,212
ChongH.J.,213
ChoS.-R.,214
WarkL.,215
DanescuA.,216
NatarajanS.,217
ZhuX.,218
ChengS.-Y.,219
Hombach-KlonischS.,220
MaiS.,221
KlonischT.,222
SweigartL.,223
BurdenM.,224
CarltonK.H.,225
FillwalkJ.,226
RosenzweigI.,227
FogarasiA.,228
JohnsenB.,229
AlvingJ.,230
FabriciusM.E.,231
SchergM.,232
NeufeldM.Y.,233
PresslerR.,234
KjaerT.W.,235
VanEmdeBoasW.,236
BeniczkyS.,237
FuY.,238
SchroederT.,239
ZabelinaT.,240
BadbaranA.,241
BacherU.,242
KobbeG.,243
AyukF.,244
WolschkeC.,245
SchnittgerS.,246
KohlmannA.,247
HaferlachT.,248
KrögerN.,249
LiuL.-P.,250
XuA.-D.,251
WongL.K.S.,252
WangD.Z.,253
WangY.-J.,254
RattermanM.,255
KruczekK.,256
SuloS.,257
ShanafeltT.D.,258
KayN.E.,259
NabhanC.,260
PawlakE.A.,261
GeorR.J.,262
WattsM.R.,263
BlackS.J.,264
JohnsonP.J.,265
BelknapJ.K.,266
HariharanM.,267
PolatK.,268
SindhuR.,269
DaqrouqK.,270
AlkhateebA.,271
AjourM.N.,272
MorfeqA.,273
ChenY.,274
WangT.-T.,275
GaoY.,276
LiT.-J.,277
KurochkinM.A.,278
FedosovI.V.,279
TuchinV.V.,280
TakedaT.,281
ItoiO.,282
TakagiH.,283
TsubakimotoS.,284
Porter-OêgradyT.,285
JasminM.,286
RobertsB.C.,287
PerilliE.,288
ReynoldsK.J.,289
ShragerJ.,290
TenenbaumJ.M.,291
XuG.,292
StrongM.J.,293
LaceyM.R.,294
BaribaultC.,295
FlemingtonE.K.,296
TaylorC.M.,297
DelibasisK.K.,298
AsvestasP.A.,299
KechriniotisA.I.,300
MatsopoulosG.K.,301
BuchhauptM.,302
SharmaS.,303
KellnerS.,304
OswaldS.,305
PaetzoldM.,306
PeiferC.,307
WatzingerP.,308
SchraderJ.,309
HelmM.,310
EntianK.-D.,311
KastisG.A.,312
KyriakopoulouD.,313
GaitanisA.,314
FernándezY.,315
HuttonB.F.,316
FokasA.S.,317
BalkoJ.M.,318
GiltnaneJ.M.,319
WangK.,320
SchwarzL.J.,321
YoungC.D.,322
CookR.S.,323
OwensP.,324
SandersM.E.,325
KubaM.G.,326
SánchezV.,327
KurupiR.,328
MooreP.D.,329
PintoJ.A.,330
DoimiF.D.,331
GómezH.,332
HoriuchiD.,333
GogaA.,334
LehmannB.D.,335
BauerJ.A.,336
PietenpolJ.A.,337
RossJ.S.,338
PalmerG.A.,339
YelenskyR.,340
CroninM.,341
MillerV.A.,342
StephensP.J.,343
ArteagaC.L.,344
KoyanoY.,345
NakagamiG.,346
IizakaS.,347
MinematsuT.,348
NoguchiH.,349
TamaiN.,350
MugitaY.,351
KitamuraA.,352
TabataK.,353
AbeM.,354
MurayamaR.,355
SugamaJ.,356
SanadaH.,357
KeltyC.,358
PanofskyA.,359
BarbeauB.,360
HiscottJ.,361
BazarbachiA.,362
CarvalhoE.,363
JonesK.,364
MartinF.,365
MatsuokaM.,366
MurphyE.L.,367
RatnerL.,368
SwitzerW.M.,369
WatanabeT.,370
McLaughlinN.,371
Afsar-ManeshN.,372
RaglandV.,373
BuxeyF.,374
MartinN.A.,375
Nikolaishvilli-FeinbergN.,376
CohenS.M.,377
MidkiffB.,378
ZhouY.,379
OlorvidaM.,380
IbrahimJ.G.,381
OmoloB.,382
ShieldsJ.M.,383
ThomasN.E.,384
GrobenP.A.,385
KaufmannW.K.,386
MillerC.R.,387
FengD.,388
LiangD.,389
TierneyL.,390
MurrayP.R.,391
ThomsonS.L.,392
SmithM.E.,393
PyneJ.D.,394
GenoveseK.,395
CasalettoL.,396
GeestJ.P.V.,397
SunX.,398
YuX.,399
LiuJ.,400
ZhangH.,401
ZhouF.,402
XieB.,403
LiS.,404
BongersG.,405
PacerM.E.,406
GeraldinoT.H.,407
ChenL.,408
HeZ.,409
HashimotoD.,410
FurtadoG.C.,411
OchandoJ.,412
KelleyK.A.,413
ClementeJ.C.,414
MeradM.,415
VanBakelH.,416
LiraS.A.,417
MartisR.J.,418
AcharyaU.R.,419
AdeliH.,420
DakinS.G.,421
DudhiaJ.,422
SmithR.K.W.,423
SchutA.G.T.,424
Wardell-JohnsonG.W.,425
YatesC.J.,426
KeppelG.,427
BaranI.,428
FranklinS.E.,429
HopperS.D.,430
VanNielK.P.,431
MucinaL.,432
ByrneM.,433
Garcia-TorresL.,434
Caballero-NovellaJ.J.,435
Goḿez-CandónD.,436
De-CastroA.I.,437
YanL.,438
GuY.-H.,439
TaoX.,440
LaiX.-J.,441
ZhangY.-Z.,442
TanX.-M.,443
WangH.,444
LuoM.-X.,445
ChenX.-B.,446
YangY.-X.,447
WangX.,448
BrasseyC.A.,449
SellersW.I.,450
TrabucoM.H.,451
CostaM.V.C.,452
DeOliveiraNascimentoF.A.,453
ZhongD.,454
GuJ.,455
TongD.,456
FonjiS.F.,457
TaffG.N.,458
SarafP.A.,459
KamatS.,460
PuranikR.S.,461
PuranikS.,462
SarafS.P.,463
SinghB.P.,464
ThooyamaniK.P.,465
KhanaaV.,466
UdayakumarR.,467
Rivilla-GarcíaJ.,468
SilleroM.,469
GrandeI.,470
SampedroJ.,471
GómezM.A.,472
LiouY.-R.,473
TorngW.,474
KaoY.-C.,475
SungK.-B.,476
LeeC.-H.,477
KuoP.-L.,478
GhelfiP.,479
LaghezzaF.,480
ScottiF.,481
SerafinoG.,482
CapriaA.,483
PinnaS.,484
OnoriD.,485
PorziC.,486
ScaffardiM.,487
MalacarneA.,488
VercesiV.,489
LazzeriE.,490
BerizziF.,491
BogoniA.,492
HuangW.-T.,493
LinC.-W.,494
SakuraiT.,495
NamikiS.,496
KanzakiR.,497
HafenE.,498
KossmannD.,499
BrandA.,500
BronsnickT.,501
KaziN.,502
KirkorianA.Y.,503
RaoB.K.,504
GouldF.D.H.,505
NoronhaK.P.,506
NayakK.P.,507
BhandaryS.V.,508
CaiC.,509
LiP.,510
GuoJ.,511
TangZ.,512
YanB.,513
LiL.,514
BaoS.,515
PathakP.,516
SelvakumarS.,517
SakamotoR.,518
MoriS.,519
MillerM.I.,520
OkadaT.,521
TogashiK.,522
HuhS.,523
MercerD.,524
ParkinsonD.,525
SalinetJ.L.,526
TuanJ.H.,527
SandilandsA.J.,528
StaffordP.J.,529
SchlindweinF.S.,530
AndréNgG.,531
CannonT.D.,532
SunF.,533
McewenS.J.,534
PapademetrisX.,535
HeG.,536
vanErpT.G.M.,537
JacobsonA.,538
BeardenC.E.,539
WalkerE.,540
HuX.,541
ZhouL.,542
SeidmanL.J.,543
