pmid,authors
2-s2.0-84857183528,"['Gordon N.K.', ' Gordon R.']"
2-s2.0-84880230597,"['McClure M.J.', ' Garg K.', ' Simpson D.G.', ' Ryan J.J.', ' Sell S.A.', ' Bowlin G.L.', ' Ericksen J.J.']"
2-s2.0-84882559749,['Zilberstein K.']
2-s2.0-84889581315,"['Lillehaug S.', ' Syverstad G.H.', ' Nilsson L.N.G.', ' Bjaalie J.G.', ' Leergaard T.B.', ' Torp R.']"
2-s2.0-84890549929,"['Hwang M.G.', ' Park H.J.', ' Har D.H.']"
2-s2.0-84890560422,"['Berry J.M.', ' Jay N.', ' Cranston R.D.', ' Darragh T.M.', ' Holly E.A.', ' Welton M.L.', ' Palefsky J.M.']"
2-s2.0-84891419963,"['Balaji V.R.', ' Subramanian S.']"
2-s2.0-84891631962,"['Andueza D.', ' Alabart J.L.', ' Lahoz B.', ' Muñoz F.', ' Folch J.']"
2-s2.0-84891798732,"['Hoover-Fong J.', ' Sobreira N.', ' Jurgens J.', ' Modaff P.', ' Blout C.', ' Moser A.', ' Kim O.-H.', ' Cho T.-J.', ' Cho S.Y.', ' Kim S.J.', ' Jin D.-K.', ' Kitoh H.', ' Park W.-Y.', ' Ling H.', ' Hetrick K.N.', ' Doheny K.F.', ' Valle D.', ' Pauli R.M.']"
2-s2.0-84892150517,"['Hadwen J.', ' Mackenzie D.', ' Shamim F.', ' Mongeon K.', ' Holcik M.', ' Mackenzie A.', ' Farooq F.']"
2-s2.0-84892420058,"['Schwartze J.', ' Haarbrandt B.', ' Fortmeier D.', ' Haux R.', ' Seidel C.']"
2-s2.0-84892484747,"['Griesser S.', "" O'Leary P.""]"
2-s2.0-84892526743,"['Zhou B.', ' Sherry Liu X.', ' Wang J.', ' Lucas Lu X.', ' Fields A.J.', ' Edward Guo X.']"
2-s2.0-84892591521,"['Thiele R.H.', ' Bartels K.', ' Esper S.', ' Ikeda K.', ' Gan T.-J.']"
2-s2.0-84892712729,"['Kidd B.A.', ' Peters L.A.', ' Schadt E.E.', ' Dudley J.T.']"
2-s2.0-84892789886,"['Lin P.L.', ' Huang P.Y.', ' Huang P.W.', ' Hsu H.C.', ' Chen C.C.']"
